timestamp,visitorid,event,itemid,transactionid
1767225660000,1119,view,1107,
1767225720000,1080,view,1183,
1767225720000,367,view,1143,
1767226020000,1080,view,1245,
1767226080000,1080,addtocart,1245,
1767226260000,1080,view,1145,
1767226260000,1080,transaction,1245,100609.0
1767226380000,1080,addtocart,1145,
1767226380000,446,view,1046,
1767226500000,680,view,1200,
1767226920000,612,view,1149,
1767226920000,680,addtocart,1200,
1767227160000,680,view,1180,
1767227220000,623,view,1218,
1767227400000,219,view,1131,
1767227460000,440,view,1089,
1767227580000,219,view,1142,
1767227640000,219,addtocart,1142,
1767227880000,219,view,1191,
1767228120000,219,view,1171,
1767228480000,219,view,1221,
1767228540000,233,view,1150,
1767228780000,219,addtocart,1221,
1767228900000,318,view,1220,
1767229020000,318,view,1250,
1767229080000,118,view,1317,
1767229260000,318,view,1300,
1767229380000,318,view,1005,
1767229800000,318,addtocart,1005,
1767229920000,318,view,1175,
1767230220000,1139,view,1008,
1767230880000,502,view,1212,
1767231960000,691,view,1070,
1767232020000,322,view,1148,
1767232200000,691,view,1000,
1767232440000,691,addtocart,1000,
1767232440000,1170,view,1075,
1767232620000,691,view,1250,
1767233520000,829,view,1284,
1767233580000,829,view,1309,
1767233820000,1024,view,1190,
1767234000000,1024,view,1050,
1767234060000,1024,addtocart,1050,
1767234180000,337,view,1116,
1767234240000,1024,view,1272,
1767234300000,1024,view,1220,
1767234720000,1024,view,1240,
1767234780000,1177,view,1321,
1767235020000,1177,view,1118,
1767235320000,1177,view,1318,
1767235500000,1177,addtocart,1318,
1767235740000,1038,view,1117,
1767235740000,1177,view,1208,
1767235740000,1177,transaction,1318,100653.0
1767235980000,986,view,1159,
1767236100000,1177,addtocart,1208,
1767236160000,1104,view,1193,
1767236580000,298,view,1129,
1767236820000,298,view,1042,
1767236880000,202,view,1055,
1767237240000,298,view,1282,
1767237300000,298,addtocart,1282,
1767237540000,298,transaction,1282,100166.0
1767237660000,860,view,1304,
1767237720000,52,view,1312,
1767237780000,368,view,1146,
1767238200000,757,view,1048,
1767238620000,215,view,1214,
1767239040000,565,view,1231,
1767239820000,47,view,1194,
1767239820000,878,view,1319,
1767239940000,819,view,1095,
1767240000000,401,view,1044,
1767240060000,819,view,1205,
1767241860000,632,view,1322,
1767242040000,671,view,1271,
1767242280000,632,addtocart,1322,
1767242280000,704,view,1030,
1767242340000,704,view,1273,
1767242340000,632,view,1314,
1767242580000,632,view,1282,
1767242640000,704,view,1230,
1767242700000,704,addtocart,1230,
1767242880000,632,view,1274,
1767242880000,704,view,1343,
1767243000000,305,view,1186,
1767243240000,632,addtocart,1274,
1767243300000,305,view,1326,
1767243300000,519,view,1092,
1767243300000,704,addtocart,1343,
1767243480000,455,view,1184,
1767243480000,819,view,1319,
1767243480000,995,view,1347,
1767243600000,305,view,1179,
1767243660000,305,view,1206,
1767243840000,60,view,1179,
1767244020000,885,view,1334,
1767244080000,305,addtocart,1206,
1767244320000,305,view,1209,
1767244680000,358,view,1027,
1767245640000,865,view,1037,
1767245700000,51,view,1058,
1767245940000,51,view,1263,
1767245940000,802,view,1253,
1767246180000,51,addtocart,1263,
1767246240000,51,view,1218,
1767246480000,51,view,1258,
1767246600000,51,addtocart,1258,
1767246720000,612,view,1256,
1767246900000,51,view,1293,
1767246900000,51,transaction,1258,100037.0
1767247080000,552,view,1024,
1767247200000,1055,view,1337,
1767247440000,1119,view,1212,
1767247560000,171,view,1322,
1767247800000,1152,view,1242,
1767248280000,920,view,1015,
1767248820000,789,view,1201,
1767249060000,893,view,1330,
1767249060000,238,view,1017,
1767249480000,238,view,1041,
1767249660000,912,view,1124,
1767250140000,35,view,1023,
1767250320000,859,view,1323,
1767251220000,396,view,1018,
1767251640000,184,view,1131,
1767251700000,1025,view,1085,
1767252660000,36,view,1080,
1767252720000,1138,view,1335,
1767253200000,1017,view,1026,
1767253260000,1090,view,1330,
1767253620000,1090,view,1080,
1767253920000,1090,view,1200,
1767253980000,385,view,1267,
1767254160000,385,view,1007,
1767254160000,1090,addtocart,1200,
1767254280000,1090,view,1175,
1767254280000,1090,transaction,1200,100616.0
1767254340000,1090,view,1225,
1767254400000,596,view,1160,
1767254400000,385,view,1190,
1767254520000,950,view,1233,
1767254520000,592,view,1260,
1767254580000,717,view,1021,
1767254580000,596,view,1300,
1767254640000,271,view,1054,
1767254820000,596,view,1210,
1767254820000,1076,view,1259,
1767254940000,596,view,1303,
1767255000000,1146,view,1083,
1767255000000,717,view,1321,
1767255180000,596,addtocart,1303,
1767255360000,596,view,1090,
1767255420000,545,view,1115,
